"Dam_Founder","Sire_Founder","PupGeno","WeanDate","YearMonth","litterorder","litternum","First_Litter","Males","Females","Weaned","Male_Prop"
"WSB","WSB","WSBxWSB","2/8/10","YearMonth_2010-02","order02",1,0,2,3,5,0.4
"WSB","WSB","WSBxWSB","4/7/10","YearMonth_2010-04","order03",2,0,1,2,3,0.333333333
"WSB","WSB","WSBxWSB","4/28/10","YearMonth_2010-04","order04",3,0,1,2,3,0.333333333
"WSB","WSB","WSBxWSB","1/19/10","YearMonth_2010-01","order01",0,1,3,0,3,1
"WSB","WSB","WSBxWSB","2/8/10","YearMonth_2010-02","order02",1,0,3,2,5,0.6
"WSB","WSB","WSBxWSB","12/21/09","YearMonth_2009-12","order01",0,1,2,1,3,0.666666667
"WSB","WSB","WSBxWSB","2/8/10","YearMonth_2010-02","order02",1,0,0,3,3,0
"WSB","WSB","WSBxWSB","3/29/10","YearMonth_2010-03","order03",2,0,1,2,3,0.333333333
"WSB","WSB","WSBxWSB","5/19/10","YearMonth_2010-05","order04",3,0,2,2,4,0.5
"WSB","WSB","WSBxWSB","2/22/10","YearMonth_2010-02","order01",0,0,2,1,3,0.666666667
"WSB","WSB","WSBxWSB","5/5/10","YearMonth_2010-05","order02",1,0,2,0,2,1
"WSB","WSB","WSBxWSB","5/19/10","YearMonth_2010-05","order01",0,0,1,0,1,1
"WSB","WSB","WSBxWSB","3/22/10","YearMonth_2010-03","order01",0,1,2,1,3,0.666666667
"WSB","WSB","WSBxWSB","5/19/10","YearMonth_2010-05","order01",0,1,1,1,2,0.5
"WSB","WSB","WSBxWSB","3/22/10","YearMonth_2010-03","order01",0,1,2,1,3,0.666666667
"WSB","WSB","WSBxWSB","4/14/10","YearMonth_2010-04","order02",1,0,3,2,5,0.6
"B6","B6","B6xB6","3/26/08","YearMonth_2008-03","order01",0,1,2,4,6,0.333333333
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,3,5,8,0.375
"B6","B6","B6xB6","4/22/08","YearMonth_2008-04","order02",1,0,1,1,2,0.5
"B6","B6","B6xB6","5/13/08","YearMonth_2008-05","order03",2,0,0,3,3,0
"B6","B6","B6xB6","6/6/08","YearMonth_2008-06","order04",3,0,1,0,1,1
"B6","B6","B6xB6","6/23/08","YearMonth_2008-06","order05",4,0,1,7,8,0.125
"B6","B6","B6xB6","8/10/08","YearMonth_2008-08","order06",5,0,3,3,6,0.5
"B6","B6","B6xB6","9/23/08","YearMonth_2008-09","order07",6,0,1,0,1,1
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,6,2,8,0.75
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,4,3,7,0.571428571
"B6","B6","B6xB6","5/11/08","YearMonth_2008-05","order02",1,0,2,6,8,0.25
"B6","B6","B6xB6","6/26/08","YearMonth_2008-06","order03",2,0,7,0,7,1
"B6","B6","B6xB6","8/5/08","YearMonth_2008-08","order04",3,0,1,1,2,0.5
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,5,5,10,0.5
"B6","B6","B6xB6","5/11/08","YearMonth_2008-05","order02",1,0,2,0,2,1
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,5,3,8,0.625
"B6","B6","B6xB6","4/22/08","YearMonth_2008-04","order02",1,0,1,2,3,0.333333333
"B6","B6","B6xB6","5/11/08","YearMonth_2008-05","order03",2,0,3,0,3,1
"B6","B6","B6xB6","6/6/08","YearMonth_2008-06","order04",3,0,2,2,4,0.5
"B6","B6","B6xB6","7/15/08","YearMonth_2008-07","order05",4,0,5,3,8,0.625
"B6","B6","B6xB6","9/1/08","YearMonth_2008-09","order06",5,0,3,2,5,0.6
"B6","B6","B6xB6","3/28/08","YearMonth_2008-03","order01",0,1,3,3,6,0.5
"B6","B6","B6xB6","6/2/08","YearMonth_2008-06","order02",1,0,5,3,8,0.625
"B6","B6","B6xB6","3/31/08","YearMonth_2008-03","order01",0,1,4,3,7,0.571428571
"B6","B6","B6xB6","5/12/08","YearMonth_2008-05","order02",1,0,7,3,10,0.7
"B6","B6","B6xB6","6/11/08","YearMonth_2008-06","order03",2,0,1,3,4,0.25
"B6","B6","B6xB6","3/31/08","YearMonth_2008-03","order01",0,1,0,6,6,0
"B6","B6","B6xB6","5/23/08","YearMonth_2008-05","order02",1,0,4,2,6,0.666666667
"B6","B6","B6xB6","10/1/08","YearMonth_2008-10","order03",2,0,3,1,4,0.75
"B6","B6","B6xB6","4/10/08","YearMonth_2008-04","order01",0,1,7,4,11,0.636363636
"B6","B6","B6xB6","6/18/08","YearMonth_2008-06","order02",1,0,1,9,10,0.1
"B6","B6","B6xB6","8/14/08","YearMonth_2008-08","order03",2,0,6,2,8,0.75
"B6","B6","B6xB6","10/20/08","YearMonth_2008-10","order04",3,0,1,1,2,0.5
"B6","B6","B6xB6","12/20/08","YearMonth_2008-12","order05",4,0,0,3,3,0
"B6","B6","B6xB6","9/17/08","YearMonth_2008-09","order01",0,1,2,2,4,0.5
"B6","B6","B6xB6","1/26/09","YearMonth_2009-01","order02",1,0,1,2,3,0.333333333
"B6","B6","B6xB6","9/18/08","YearMonth_2008-09","order01",0,1,2,5,7,0.285714286
"B6","B6","B6xB6","11/13/08","YearMonth_2008-11","order02",1,0,5,3,8,0.625
"B6","B6","B6xB6","12/30/08","YearMonth_2008-12","order03",2,0,2,5,7,0.285714286
"B6","B6","B6xB6","2/24/09","YearMonth_2009-02","order04",3,0,2,1,3,0.666666667
"B6","B6","B6xB6","5/5/09","YearMonth_2009-05","order05",4,0,0,3,3,0
"B6","B6","B6xB6","9/18/08","YearMonth_2008-09","order01",0,1,4,0,4,1
"B6","B6","B6xB6","10/13/08","YearMonth_2008-10","order02",1,0,3,4,7,0.428571429
"B6","B6","B6xB6","11/24/08","YearMonth_2008-11","order03",2,0,3,2,5,0.6
"B6","B6","B6xB6","1/21/09","YearMonth_2009-01","order04",3,0,7,2,9,0.777777778
"B6","B6","B6xB6","3/30/09","YearMonth_2009-03","order05",4,0,3,3,6,0.5
"B6","B6","B6xB6","11/19/08","YearMonth_2008-11","order01",0,1,3,4,7,0.428571429
"B6","B6","B6xB6","1/9/09","YearMonth_2009-01","order02",1,0,2,6,8,0.25
"B6","B6","B6xB6","2/16/09","YearMonth_2009-02","order03",2,0,6,3,9,0.666666667
"B6","B6","B6xB6","4/7/09","YearMonth_2009-04","order04",3,0,3,1,4,0.75
"B6","B6","B6xB6","1/9/09","YearMonth_2009-01","order01",0,1,2,2,4,0.5
"B6","B6","B6xB6","4/3/09","YearMonth_2009-04","order02",1,0,3,3,6,0.5
"B6","B6","B6xB6","5/13/09","YearMonth_2009-05","order01",0,1,3,5,8,0.375
"B6","B6","B6xB6","6/22/09","YearMonth_2009-06","order02",1,0,4,5,9,0.444444444
"B6","B6","B6xB6","8/5/09","YearMonth_2009-08","order03",2,0,4,5,9,0.444444444
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order04",3,0,6,1,7,0.857142857
"B6","B6","B6xB6","5/25/09","YearMonth_2009-05","order01",0,1,3,4,7,0.428571429
"B6","B6","B6xB6","5/30/09","YearMonth_2009-05","order01",0,1,4,3,7,0.571428571
"B6","B6","B6xB6","7/13/09","YearMonth_2009-07","order02",1,0,7,3,10,0.7
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order03",2,0,7,2,9,0.777777778
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order04",3,0,3,2,5,0.6
"B6","B6","B6xB6","10/14/09","YearMonth_2009-10","order05",4,0,2,2,4,0.5
"B6","B6","B6xB6","6/24/09","YearMonth_2009-06","order01",0,1,2,3,5,0.4
"B6","B6","B6xB6","6/24/09","YearMonth_2009-06","order01",0,1,2,5,7,0.285714286
"B6","B6","B6xB6","7/16/09","YearMonth_2009-07","order02",1,0,4,3,7,0.571428571
"B6","B6","B6xB6","6/24/09","YearMonth_2009-06","order01",0,1,5,2,7,0.714285714
"B6","B6","B6xB6","7/15/09","YearMonth_2009-07","order02",1,0,1,6,7,0.142857143
"B6","B6","B6xB6","8/7/09","YearMonth_2009-08","order03",2,0,4,5,9,0.444444444
"B6","B6","B6xB6","9/2/09","YearMonth_2009-09","order04",3,0,3,0,3,1
"B6","B6","B6xB6","9/23/09","YearMonth_2009-09","order05",4,0,1,1,2,0.5
"B6","B6","B6xB6","11/18/09","YearMonth_2009-11","order06",5,0,4,4,8,0.5
"B6","B6","B6xB6","7/17/09","YearMonth_2009-07","order01",0,1,2,3,5,0.4
"B6","B6","B6xB6","8/14/09","YearMonth_2009-08","order01",0,0,5,1,6,0.833333333
"B6","B6","B6xB6","10/14/09","YearMonth_2009-10","order02",1,0,2,0,2,1
"B6","B6","B6xB6","7/27/09","YearMonth_2009-07","order01",0,1,3,4,7,0.428571429
"B6","B6","B6xB6","9/30/09","YearMonth_2009-09","order02",1,0,2,4,6,0.333333333
"B6","B6","B6xB6","11/18/09","YearMonth_2009-11","order03",2,0,4,2,6,0.666666667
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order04",3,0,1,1,2,0.5
"B6","B6","B6xB6","7/29/09","YearMonth_2009-07","order01",0,1,3,5,8,0.375
"B6","B6","B6xB6","10/14/09","YearMonth_2009-10","order02",1,0,3,5,8,0.375
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,5,3,8,0.625
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order02",1,0,5,5,10,0.5
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order03",2,0,7,2,9,0.777777778
"B6","B6","B6xB6","9/30/09","YearMonth_2009-09","order01",0,0,6,0,6,1
"B6","B6","B6xB6","11/9/09","YearMonth_2009-11","order02",1,0,0,3,3,0
"B6","B6","B6xB6","12/21/09","YearMonth_2009-12","order03",2,0,8,2,10,0.8
"B6","B6","B6xB6","2/8/10","YearMonth_2010-02","order04",3,0,4,2,6,0.666666667
"B6","B6","B6xB6","3/22/10","YearMonth_2010-03","order05",4,0,1,2,3,0.333333333
"B6","B6","B6xB6","5/12/10","YearMonth_2010-05","order06",5,0,4,1,5,0.8
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,2,2,4,0.5
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order02",1,0,0,2,2,0
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order03",2,0,3,2,5,0.6
"B6","B6","B6xB6","11/4/09","YearMonth_2009-11","order04",3,0,2,1,3,0.666666667
"B6","B6","B6xB6","12/7/09","YearMonth_2009-12","order05",4,0,3,3,6,0.5
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,5,1,6,0.833333333
"B6","B6","B6xB6","9/16/09","YearMonth_2009-09","order02",1,0,1,3,4,0.25
"B6","B6","B6xB6","11/4/09","YearMonth_2009-11","order03",2,0,5,4,9,0.555555556
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,1,3,4,0.25
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order02",1,0,0,2,2,0
"B6","B6","B6xB6","10/26/09","YearMonth_2009-10","order03",2,0,5,4,9,0.555555556
"B6","B6","B6xB6","11/23/09","YearMonth_2009-11","order04",3,0,1,5,6,0.166666667
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,5,1,6,0.833333333
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order02",1,0,1,8,9,0.111111111
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,2,6,8,0.25
"B6","B6","B6xB6","10/7/09","YearMonth_2009-10","order02",1,0,7,2,9,0.777777778
"B6","B6","B6xB6","11/18/09","YearMonth_2009-11","order03",2,0,4,4,8,0.5
"B6","B6","B6xB6","8/26/09","YearMonth_2009-08","order01",0,1,6,0,6,1
"B6","B6","B6xB6","10/21/09","YearMonth_2009-10","order02",1,0,3,5,8,0.375
"B6","B6","B6xB6","1/11/10","YearMonth_2010-01","order03",2,0,3,4,7,0.428571429
